iter	Logloss
0	0.6628188481
1	0.6338148571
2	0.6059147668
3	0.582489377
4	0.561383202
5	0.5413645184
6	0.5229495821
7	0.5089187622
8	0.4963104914
9	0.4848465087
10	0.4755409483
11	0.4643804762
12	0.4542354402
13	0.4455351451
14	0.4377513159
15	0.4266228449
16	0.4167859516
17	0.4078173259
18	0.4016035474
19	0.3953665476
20	0.3896811349
21	0.383566599
22	0.3752456847
23	0.3690707494
24	0.3642120967
25	0.3571090698
26	0.3497376215
27	0.3433121878
28	0.3378922599
29	0.3343344492
30	0.3291219681
31	0.3251371232
32	0.3203013587
33	0.317818354
34	0.3139750768
35	0.3113230448
36	0.3054399036
37	0.3009220305
38	0.2974260724
39	0.2942933582
40	0.2917308505
41	0.287668107
42	0.2850158631
43	0.2823298621
44	0.2799337478
45	0.2762996129
46	0.2721086532
47	0.2706251599
48	0.267846607
49	0.2658103156
50	0.2635084485
51	0.2623085143
52	0.259040772
53	0.2563400874
54	0.2537731292
55	0.2491967035
56	0.2462081606
57	0.2442070189
58	0.241506622
59	0.2389883162
60	0.2363194965
61	0.2339525828
62	0.2307866566
63	0.2291797154
64	0.2277069697
65	0.2260501347
66	0.2240494925
67	0.2218585241
68	0.2190664988
69	0.2157982418
70	0.2143952052
71	0.2125604115
72	0.2111814438
73	0.2089014962
74	0.2065128448
75	0.205261291
76	0.2026807089
77	0.200719349
78	0.1989855842
79	0.1972058463
80	0.1961013249
81	0.1947403257
82	0.1927735162
83	0.190316942
84	0.1889009022
85	0.1871635498
86	0.184900859
87	0.1839450049
88	0.1818408058
89	0.1808379643
90	0.1796202281
91	0.1785630423
92	0.1771486373
93	0.1754302222
94	0.1744446982
95	0.1733178033
96	0.171633342
97	0.1701818799
98	0.1690943733
99	0.1673535847
