iter	Passed	Remaining
0	51	5145
1	52	2573
2	53	1716
3	53	1286
4	54	1028
5	54	857
6	55	734
7	55	641
8	56	570
9	56	512
10	57	465
11	58	425
12	58	391
13	59	362
14	59	338
15	60	316
16	60	297
17	61	280
18	62	264
19	62	250
20	63	237
21	63	226
22	64	215
23	64	205
24	65	196
25	66	188
26	66	180
27	67	173
28	68	166
29	68	160
30	69	154
31	70	148
32	70	143
33	71	138
34	71	133
35	72	128
36	72	124
37	73	119
38	74	115
39	74	111
40	75	108
41	75	104
42	76	100
43	76	97
44	77	94
45	77	91
46	78	88
47	79	86
48	80	83
49	80	80
50	81	78
51	81	75
52	82	73
53	83	70
54	83	68
55	84	66
56	85	64
57	85	62
58	86	60
59	87	58
60	87	55
61	88	54
62	88	52
63	89	50
64	89	48
65	90	46
66	91	44
67	91	43
68	92	41
69	92	39
70	93	38
71	93	36
72	94	34
73	94	33
74	95	31
75	95	30
76	96	28
77	96	27
78	97	25
79	97	24
80	98	23
81	98	21
82	99	20
83	99	18
84	100	17
85	100	16
86	101	15
87	101	13
88	102	12
89	102	11
90	103	10
91	103	9
92	104	7
93	104	6
94	105	5
95	105	4
96	106	3
97	107	2
98	107	1
99	108	0
